№ анкеты,"1) Оцените, в какой мере оправдались Ваши ожидания, связанные с выбором образовательной программы",2) Оцените достаточность полученных теоретических знаний и приобретенных умений и навыков для осуществления эффективной профессиональной деятельности,"3) Оцените соответствие целей, результатов обучения по ОП содержанию ОП (подбор дисциплин, кол-во кредитов, методы обучения, процедуры оценивания и т.п)","4) Оцените качество профессорско-преподавательского состава (знания и квалификация ППС, педагогические качества, объективность оценивания и др.)","5) Оцените качество материально-технической ресурсов необходимой для реализации ОП (здания и сооружения, состояние аудиторного фонда, обеспеченность лабораторным оборудованием и т.д.)","6) Оцените наличие, качество и достаточность учебной и учебно-методической литературы по дисциплинам ОП (учебников, учебно-методических пособий, методических рекомендаций по выполнению заданий СРО, курсовых и дипломных работ и т.д.)","7) Оцените удовлетворенность электронной информационно-образовательной средой (широкополосного доступа в Интернет, системами Moodle, Platonus, электронной библиотеки и др.)","8) Оцените качество организации, проведения и содержание профессиональных практик","9) Как Вы считаете, на сколько соответствуют знания, умения и навыки, полученные обучающимися при освоении образовательной программы, оценке, полученной на итоговой аттестации (при защите дипломной работы / комплексного экзамена)","Ваши пожелания и предложения
",Язык,Длина,Тональность_класс
57,8,8,7,8,9,7,8,8,9,"оқытушылар жедел жауап береді, түсіндіру түсінікті. оқу жайлы, әсері жақсы, қоса жобалар пайдалы, кейде кеңес алу оңай.",kz,long,positive
58,6,6,6,7,6,5,7,5,4,"без серьёзных замечаний. рабочая учебная рутина, замечу примеры привязаны к реальным процессам, кроме того примеры привязаны к реальным процессам",ru,long,neutral
59,9,6,6,8,6,8,6,9,8,"преподаватели отзывчивые, отвечают вовремя, при этом проекты и задачи помогают закреплять.",ru,medium,positive
60,10,9,9,9,9,10,10,8,10,"расписание стабильное, информирование ясная, по факту примеры привязаны к реальным процессам.",ru,medium,positive
61,9,9,7,9,7,9,10,8,10,"учиться комфортно, впечатления положительные.",ru,short,positive
62,5,3,4,4,4,5,5,4,5,"лабораторные идут по графику. практика есть, формат привычный, кстати проекты и задачи помогают закреплять, по факту проекты и задачи помогают закреплять…",ru,long,neutral
63,10,8,10,9,10,8,8,9,10,"практика ыңғайлы форматта, тапсырмалар айқын, қалағаным практиканы және мысалдарды күшейту.",kz,medium,positive
64,8,9,6,8,7,9,6,9,9,"уведомления приходят оперативно, логистика понятная. учиться комфортно, впечатления положительные, кстати проекты и задачи помогают закреплять.",ru,long,positive
65,8,8,8,9,7,7,8,7,7,"кеңестер уақтылы, қолдау бар, айтпақшы жобалар пайдалы.",kz,medium,positive
66,6,5,6,4,5,5,4,5,4,"ерекше ескертулер жоқ, кейде рабочая учебная рутина.",mixed,medium,neutral
67,8,8,9,8,8,8,6,8,9,стажировки и проекты помогают закреплять темы!,ru,short,positive
68,8,10,10,10,9,10,10,10,10,"техника настроена, оборудование доступны.",ru,short,positive
69,8,9,10,9,10,10,10,9,10,"аудиториялар жабдықталған, жұмыс істеу ыңғайлы. бағдарлама актуалды көрінеді, күшейтсе жақсы практиканы және мысалдарды күшейту, қарастырған жөн практиканы және мысалдарды күшейту.",kz,long,positive
70,6,7,6,6,6,5,7,7,9,"без серьёзных замечаний, кстати проекты и задачи помогают закреплять…",ru,medium,neutral
71,3,1,3,4,3,4,2,2,2,"нужно обновление требуется подборок, примеры старые. материалы местами неактуальны, мало задачи из практики, при этом примеры привязаны к реальным процессам…",ru,long,negative
72,10,8,9,9,8,8,6,8,7,"тәжірибесімен бөліседі, кеңес береді.",kz,short,positive
73,7,10,10,9,8,10,10,7,10,"чувствуется опыт и вовлеченность преподавателей. объясняют доходчиво, делятся опытом и лайфхаками, можно усилить усилить практику и разбор кейсов!",ru,long,positive
74,3,4,1,2,1,1,2,3,2,в расписании случаются накладки.,ru,short,negative
75,4,4,4,6,3,8,6,7,7,"без серьёзных замечаний, при этом примеры привязаны к реальным процессам.",ru,medium,neutral
76,8,10,9,9,8,9,9,8,10,тәжірибесімен бөліседі кеңес береді жалпы чувствуется.,mixed,short,positive
77,10,7,10,9,8,8,7,10,7,"преподаватели отзывчивые, отвечают часто быстро.",ru,short,positive
78,6,4,5,4,3,6,2,4,3,"в целом всё нормально, в целом примеры привязаны к реальным процессам…",ru,medium,neutral
79,2,2,1,3,1,4,3,4,4,құрал-жабдық жетіспейді.,kz,short,negative
80,2,1,1,1,1,1,1,1,2,"құралдар ескі, қайта қарау керек, кейде инструмента не хватает в лабораториях.",mixed,medium,negative
81,10,10,10,9,10,10,10,10,10,"лабораторные по делу, инструкции понятно изложены, хотелось бы усилить практику и разбор кейсов.",ru,medium,positive
82,10,10,9,10,10,8,8,9,10,"техника настроена, инструменты доступны, замечу примеры привязаны к реальным процессам!",ru,medium,positive
83,8,9,9,6,8,8,5,8,6,"по стилю преподаватели разные, кроме того проекты и задачи помогают закреплять…",ru,medium,neutral
84,9,8,9,8,8,9,8,10,7,презентации и примеры даются без задержек.,ru,short,positive
85,10,10,9,7,8,10,9,10,9,"кесте тұрақты, байланыс айқын, айтпақшы уведомления приходят часто быстро, логистика понятная.",mixed,medium,positive
86,7,7,6,6,6,4,7,4,5,"кейсы встречаются, но без излишеств. лабораторные идут по графику, вдобавок проекты и задачи помогают закреплять.",ru,long,neutral
87,4,6,5,6,7,5,7,4,5,"жалпы қалыпты, соңында мысалдар нақты жағдайлардан, кейде жобалар пайдалы.",kz,medium,neutral
88,4,3,3,3,3,4,3,4,2,жауап әрдайым уақытында емес.,kz,short,negative
89,10,7,10,10,10,8,10,10,9,"презентации и примеры даются часто быстро, при этом консультации доступны по расписанию!",ru,medium,positive
90,7,8,5,6,5,5,4,7,3,"без серьёзных замечаний. в целом всё нормально, кстати примеры привязаны к реальным процессам, в итоге примеры привязаны к реальным процессам.",ru,long,neutral
91,9,9,10,8,10,10,9,7,9,"уведомления приходят вовремя, логистика понятная. уведомления приходят без задержек, логистика понятная, замечу примеры привязаны к реальным процессам.",ru,long,positive
92,7,7,8,8,6,6,6,6,7,"изменения в расписании бывают, в целом примеры привязаны к реальным процессам.",ru,medium,neutral
93,10,10,8,9,8,10,8,10,10,"кеңестер уақтылы, қолдау бар. кеңестер уақтылы, қолдау бар, айта кетсек кеңес алу оңай, күшейтсе жақсы практиканы және мысалдарды күшейту.",kz,long,positive
94,10,9,9,9,10,10,8,9,10,"процессы выстроены, вопросов почти нет, по факту консультации доступны по расписанию.",ru,medium,positive
95,9,9,8,8,10,9,10,10,10,"на практике даются кейсы, связь с отраслью ощущается.",ru,medium,positive
96,8,8,7,8,10,7,7,7,8,лабораторные по делу инструкции доходчиво изложены.,mixed,short,positive
97,7,7,6,6,5,4,5,6,5,"жалпы қалыпты. ерекше ескертулер жоқ, соңында мысалдар нақты жағдайлардан, қарастырған жөн практиканы және мысалдарды күшейту",kz,long,neutral
98,10,9,10,9,9,9,9,8,8,"кеңестер уақтылы, қолдау бар. бағдарлама заманауи көрінеді, жақсы болар еді практиканы және мысалдарды күшейту, айта кетсек мысалдар нақты жағдайлардан.",kz,long,positive
99,10,10,10,10,10,9,10,10,10,"лабораторные по делу, инструкции логично изложены.",ru,short,positive
100,9,9,10,9,6,10,7,10,9,"объясняют понятно, делятся опытом и лайфхаками, в целом проекты и задачи помогают закреплять.",ru,medium,positive

